FID	id	secteur	commune	antenne_mairie	adresse	perimetre_pave	type_dechet_code	type_dechet	type_conteneur_code	type_conteneur	volume_m3	marque	modele	modele_info_sup	type_avaloir	type_collecteur	nom_collecteur	etat	etat_info_sup	date_info_etat	date_instal_conteneur_sup	type_installation	date_renouvellement_materiel	x_longitude	y_latitude	geom
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3b52 1162 Grand-Sud Notre-Dame-de-Mésage  Le Rif / 121-189 Montée Saint Sauveur   verre  aérien 3 SNNECO Eco-DI      SNNECO_Eco-DI_3_A_k     5.753799 45.068295 POINT (5.753798587498462 45.068294853213786)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3b53 1163 Grand-Sud Notre-Dame-de-Mésage  Mairie / Allée de la Chapelle / Place de la Mairie (conteneurs en retrait derrière mairie)   verre  enterré 0 Villiger       Villiger__0_E_k     5.757737 45.070346 POINT (5.757737064539534 45.07034587587511)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3b54 1164 Grand-Sud Notre-Dame-de-Mésage  Les 4 Fers / Club Hippique / 964 Route de la Commanderie   verre  aérien 3 SNNECO Eco-DI      SNNECO_Eco-DI_3_A_k     5.758485 45.065213 POINT (5.758484560851926 45.065212653580645)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3b55 1165 Grand-Sud Notre-Dame-de-Mésage  Tennis Club / 1160 Route de la Commanderie / Route D101   verre  aérien 3 SNNECO Eco-DI      SNNECO_Eco-DI_3_A_k     5.760543 45.066053 POINT (5.760543317347626 45.066053510825526)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3b56 1166 Grand-Sud Notre-Dame-de-Mésage  Le Moulin / Rue du Moulin / Route D 101 (Pont Pasteur)   verre  aérien 3 SNNECO Eco-DI      SNNECO_Eco-DI_3_A_k     5.761134 45.070605 POINT (5.76113423071746 45.070605452214544)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3c22 2067 Grand-Sud Notre-Dame-de-Mésage  Le Rif / 121-189 Montée Saint Sauveur   papier CA aérien 4 SNNECO Eco-DI           5.753799 45.068295 POINT (5.7537805438611676 45.0682876677392)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3c23 2068 Grand-Sud Notre-Dame-de-Mésage  Mairie / Allée de la Chapelle / Place de la Mairie (conteneurs en retrait derrière mairie)   papier CE enterré 0 Villiger Eco-Bois           5.757737 45.070346 POINT (5.757728253556096 45.070332017628346)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3c24 2069 Grand-Sud Notre-Dame-de-Mésage  Tennis Club / 1160 Route de la Commanderie / Route D101   papier CA aérien 4 SNNECO Eco-DI           5.760543 45.066054 POINT (5.760543700819511 45.06606896261497)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3c25 2070 Grand-Sud Notre-Dame-de-Mésage  Le Moulin / Rue du Moulin / Route D 101 (Pont Pasteur)   papier CA aérien 4 SNNECO Eco-DI           5.761134 45.070605 POINT (5.761119574305606 45.0706229603988)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3c9f 3067 Grand-Sud Notre-Dame-de-Mésage  Le Rif / 121-189 Montée Saint Sauveur  EMB emballages CA aérien 4 SNNECO Eco-DI           5.753799 45.068295 POINT (5.7537634382134275 45.06828058839097)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3ca0 3068 Grand-Sud Notre-Dame-de-Mésage  Mairie / Allée de la Chapelle / Place de la Mairie (conteneurs en retrait derrière mairie)  EMB emballages CE enterré 0 Villiger Eco-Bois           5.757737 45.070346 POINT (5.757717910395646 45.07031853398397)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3ca1 3069 Grand-Sud Notre-Dame-de-Mésage  Tennis Club / 1160 Route de la Commanderie / Route D101  EMB emballages CA aérien 4 SNNECO Eco-DI           5.760543 45.066054 POINT (5.760544772876107 45.06608422586939)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3ca2 3070 Grand-Sud Notre-Dame-de-Mésage  Le Moulin / Rue du Moulin / Route D 101 (Pont Pasteur)  EMB emballages CA aérien 4 SNNECO Eco-DI           5.761134 45.070605 POINT (5.761105101649535 45.07064013886428)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3cea 3145 Grand-Sud Notre-Dame-de-Mésage  Tennis Club / 1160 Route de la Commanderie / Route D101  EMB emballages CA aérien 4 STCM Polytri        2017-printemps Colonne Emballages supplémentaire  5.760544 45.066087 POINT (5.760544670350888 45.066101141853416)
v_opendata_ctd_pav_tous.fid-26c1a268_169f8be4829_3cec 3147 Grand-Sud Notre-Dame-de-Mésage  Le Moulin / Rue du Moulin / Route D 101 (Pont Pasteur)  EMB emballages CA aérien 4 STCM Polytri        2017-07 Colonne Emballages supplémentaire  5.761134 45.070605 POINT (5.761093740148835 45.070654686780664)
